,Method,Prot. Attr.,groups,ED,PD,OD,ODg,RD,RDg,\#Attr.,$|\mathcal{G}|$
0,colorblind,binary,a,5.872,0.24,0.0,0.0,0.0,0.0,1,2
1,FairExpose-Pro,binary,a,0.0,0.0,0.357,0.0,0.086,0.0,1,2
2,FairExpose-Ord,binary,a,0.035,0.14,0.0,0.0,0.16,0.0,1,2
3,FairExpose-Ord Greedy,binary,a,0.035,0.14,0.0,0.0,0.16,0.0,1,2
4,colorblind,multi binary,b,3.231,0.24,0.0,0.0,0.0,0.0,2,4
5,FairExpose-Pro,multi binary,b,0.0,0.0,0.306,0.0,0.078,0.0,2,4
6,FairExpose-Ord,multi binary,b,0.127,0.2,0.0,0.0,0.16,0.0,2,4
7,FairExpose-Ord Greedy,multi binary,b,0.127,0.2,0.0,0.0,0.16,0.0,2,4
8,colorblind,non-binary,c,3.391,0.28,0.0,0.0,0.0,0.0,1,4
9,FairExpose-Pro,non-binary,c,0.0,0.0,0.529,0.0,0.108,0.0,1,4
10,FairExpose-Ord,non-binary,c,0.153,0.2,0.0,0.0,0.162,0.0,1,4
11,FairExpose-Ord Greedy,non-binary,c,0.162,0.24,0.0,0.0,0.192,0.0,1,4
12,colorblind,multi non-binary,d,4.815,0.505,0.0,0.0,0.0,0.0,2,9
13,FairExpose-Pro,multi non-binary,d,0.0,0.01,0.646,0.0,0.333,0.0,2,9
14,FairExpose-Ord,multi non-binary,d,0.156,0.257,0.0,0.0,0.393,0.0,2,9
15,FairExpose-Ord Greedy,multi non-binary,d,0.233,0.28,0.0,0.0,0.394,0.0,2,9
