,Dataset,k,method,ED_mean,ED_std,NDCG_mean,NDCG_std,OD_mean,OD_std,ODg_mean,ODg_std,PD_mean,PD_std,RD_mean,RD_std,RDg_mean,RDg_std,kendall_tau_mean,kendall_tau_std,runtime_mean,runtime_std
15,D3,400,FairExpose-Ord,0.037,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.338,0.0,0.0,0.0,0.595,0.0,0.107,0.023
16,D3,400,FairExpose-Pro,0.0,0.0,0.984,0.003,0.406,0.076,0.0,0.0,0.0,0.0,0.289,0.0,0.0,0.0,0.434,0.058,0.105,0.021
17,D4,200,Colorblind,18.362,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.779,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001,0.0
18,D4,200,Random,18.585,1.35,0.841,0.014,0.996,0.011,0.998,0.004,0.574,0.039,0.984,0.016,0.995,0.007,0.26,0.027,0.001,0.0
19,D4,200,FairNormRank,2.583,0.0,0.998,0.0,0.106,0.0,0.0,0.0,0.0,0.0,0.343,0.0,0.0,0.0,0.571,0.0,0.017,0.008
20,D4,200,Multi. Fa*ir,3.365,0.011,0.994,0.0,0.387,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.472,0.001,1513.517,744.86
21,D4,200,FairExpose-Ord,0.066,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.088,0.0,0.398,0.0,0.0,0.0,0.549,0.0,0.117,0.026
22,D4,200,FairExpose-Pro,0.0,0.0,0.978,0.001,0.601,0.043,0.0,0.0,0.0,0.0,0.343,0.0,0.0,0.0,0.161,0.044,0.284,0.039
23,D5,200,Colorblind,17.105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.85,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001,0.0
24,D5,200,Random,15.732,1.325,0.836,0.012,0.996,0.011,1.0,0.0,0.662,0.04,0.989,0.011,0.999,0.003,0.246,0.017,0.001,0.001
25,D5,200,FairNormRank,2.363,0.0,0.991,0.0,0.293,0.0,0.0,0.0,0.012,0.0,0.483,0.0,0.0,0.0,0.309,0.0,0.03,0.015
26,D5,200,FairExpose-Ord,0.133,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.531,0.0,0.0,0.0,0.251,0.0,0.346,0.097
27,D5,200,FairExpose-Pro,2.374,0.124,0.942,0.002,0.891,0.0,0.0,0.0,0.0,0.0,0.449,0.0,0.0,0.0,0.058,0.014,0.653,0.194
28,D6,2000,Colorblind,58.818,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.257,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.006,0.001
29,D6,2000,Random,29.036,3.351,0.965,0.001,1.0,0.0,1.0,0.0,0.132,0.016,0.872,0.035,0.889,0.044,0.484,0.007,0.002,0.0
30,D6,2000,FairNormRank,0.739,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.772,0.0,0.075,0.01
31,D6,2000,Multi. Fa*ir,0.915,1.574,0.3,0.483,0.12,0.193,0.0,0.0,0.0,0.0,0.016,0.026,0.0,0.0,-0.248,0.674,5414.192,1239.243
32,D6,2000,FairExpose-Ord,0.084,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.881,0.0,0.949,0.226
33,D6,2000,FairExpose-Pro,0.007,0.004,1.0,0.0,0.42,0.063,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.795,0.044,1.87,0.476
34,D7,500,Colorblind,66.261,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.992,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005,0.0
35,D7,500,Random,57.701,1.061,0.952,0.004,0.996,0.008,1.0,0.0,0.85,0.024,0.804,0.055,0.886,0.084,0.616,0.011,0.002,0.0
36,D7,500,FairNormRank,9.911,0.0,1.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,-0.133,0.0,0.07,0.021
37,D7,500,FairExpose-Ord,0.105,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.297,0.0,0.0,0.0,-0.218,0.0,0.619,0.158
38,D7,500,FairExpose-Pro,0.001,0.0,0.994,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.0,-0.143,0.023,3.743,0.874
39,D8,300,Colorblind,27.571,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.017,0.006
40,D8,300,Random,23.01,1.334,0.944,0.005,1.0,0.0,1.0,0.0,0.925,0.039,0.784,0.038,0.869,0.072,0.639,0.011,0.001,0.0
41,D8,300,FairNormRank,5.918,0.0,1.0,0.0,0.222,0.0,0.0,0.0,0.013,0.0,0.243,0.0,0.0,0.0,-0.219,0.0,0.109,0.022
42,D8,300,FairExpose-Ord,0.15,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.0,0.0,0.0,-0.245,0.0,13.5,2.144
43,D8,300,FairExpose-Pro,0.001,0.0,0.994,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.243,0.0,0.0,0.0,-0.208,0.02,10.905,5.555
