,Dataset,k,method,ED_mean,ED_std,NDCG_mean,NDCG_std,OD_mean,OD_std,ODg_mean,ODg_std,PD_mean,PD_std,RD_mean,RD_std,RDg_mean,RDg_std,kendall_tau_mean,kendall_tau_std,runtime_mean,runtime_std
0,D1,500,Colorblind,45.342,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.608,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.007,0.002
1,D1,500,Random,43.011,0.0,0.945,0.0,1.0,0.0,1.0,0.0,0.608,0.0,0.799,0.0,0.831,0.0,0.632,0.0,0.002,0.001
2,D1,500,FairNormRank,0.762,0.0,0.998,0.0,0.297,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.515,0.0,0.036,0.009
3,D1,500,Multi. Fa*ir,9.663,0.037,0.999,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.525,0.0,158.433,95.168
4,D1,500,FairExpose-Ord,0.053,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.531,0.0,0.18,0.033
5,D1,500,FairExpose-Pro,0.001,0.001,0.997,0.0,0.484,0.066,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.318,0.038,0.236,0.04
6,D2,90,Colorblind,12.482,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.005,0.001
7,D2,90,Random,9.341,0.673,0.907,0.007,0.998,0.003,1.0,0.0,1.0,0.0,0.725,0.009,0.79,0.02,0.659,0.002,0.001,0.0
8,D2,90,FairNormRank,1.446,0.0,0.994,0.0,0.277,0.0,0.0,0.0,0.067,0.0,0.465,0.0,0.0,0.0,0.087,0.0,0.044,0.008
9,D2,90,FairExpose-Ord,0.92,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.668,0.0,0.0,0.0,-0.082,0.0,1993.454,102.371
10,D2,90,FairExpose-Pro,0.918,0.073,0.973,0.002,1.0,0.0,0.0,0.0,0.0,0.0,0.647,0.0,0.0,0.0,-0.155,0.024,0.219,0.055
11,D3,400,Colorblind,34.195,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001,0.0
12,D3,400,Random,23.43,1.419,0.85,0.011,0.999,0.004,1.0,0.001,0.396,0.037,0.989,0.009,0.984,0.011,0.063,0.022,0.001,0.0
13,D3,400,FairNormRank,7.399,0.0,1.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.289,0.0,0.0,0.0,0.699,0.0,0.013,0.002
14,D3,400,Multi. Fa*ir,6.93,0.011,0.994,0.0,0.316,0.0,0.0,0.0,0.0,0.0,0.256,0.0,0.0,0.0,0.562,0.001,61.935,14.291
